Process Name,Normal Max CPU (%),Last Updated
loginwindow,2.56,26/12/25 19:19
distnoted,2,26/12/25 19:19
cfprefsd,2,26/12/25 19:19
UserEventAgent,2,26/12/25 19:19
universalaccessd,2,26/12/25 19:19
pboard,2,26/12/25 19:19
WindowManager,2,26/12/25 19:19
BiomeAgent,2,26/12/25 19:19
usernotificationsd,2,26/12/25 19:19
lsd,2,26/12/25 19:19
accountsd,2,26/12/25 19:19
containermanagerd,2,26/12/25 19:19
secd,2,26/12/25 19:19
Dock,2,26/12/25 19:19
ControlCenter,2,26/12/25 19:19
SystemUIServer,2,26/12/25 19:19
Finder,2,26/12/25 19:19
AccessibilityUIServer,2,26/12/25 19:19
WallpaperAgent,2,26/12/25 19:19
sharedfilelistd,2,26/12/25 19:19
trustd,2,26/12/25 19:19
AMPDeviceDiscoveryAgent,2,26/12/25 19:19
fontd,2,26/12/25 19:19
ContinuityCaptureAgent,2,26/12/25 19:19
fontworker,2,26/12/25 19:19
ViewBridgeAuxiliary,2,26/12/25 19:19
corespotlightd,2,26/12/25 19:19
identityservicesd,2,26/12/25 19:19
chronod,2,26/12/25 19:19
CMFSyncAgent,2,26/12/25 19:19
WallpaperImageExtension,2,26/12/25 19:19
WallpaperAerialsExtension,2,26/12/25 19:19
rapportd,2,26/12/25 19:19
usernoted,2,26/12/25 19:19
useractivityd,2,26/12/25 19:19
com.apple.dock.extra,2,26/12/25 19:19
com.apple.dock.external.extra.arm64,2,26/12/25 19:19
lockoutagent,2,26/12/25 19:19
WeatherWidget,2,26/12/25 19:19
WorldClockWidget,2,26/12/25 19:19
sharingd,2,26/12/25 19:19
StocksWidget,2,26/12/25 19:19
FindMyWidgetPeople,2,26/12/25 19:19
RecordWidgetExtension,2,26/12/25 19:19
WiFiAgent,2,26/12/25 19:19
StatusKitAgent,2,26/12/25 19:19
ScreenTimeWidgetExtension,2,26/12/25 19:19
UIKitSystem,2,26/12/25 19:19
BatteriesAvocadoWidgetExtension,2,26/12/25 19:19
FindMyWidgetItems,2,26/12/25 19:19
MobileTimerIntents,2,26/12/25 19:19
SafariWidgetExtension,2,26/12/25 19:19
JournalWidgets,2,26/12/25 19:19
WeatherIntents,2,26/12/25 19:19
familycircled,2,26/12/25 19:19
NotificationCenter,2,26/12/25 19:19
akd,2,26/12/25 19:19
imagent,2,26/12/25 19:19
TipsWidgetExtension,2,26/12/25 19:19
ScreenTimeWidgetIntentsExtension,2,26/12/25 19:19
RemindersWidgetExtension,2,26/12/25 19:19
mediaremoteagent,2,26/12/25 19:19
